"data","dt_evoluca","sg_uf","n"
"1",2020-05-01,"AM",57
"1",2020-05-01,"AP",2
"1",2020-05-01,"BA",5
"1",2020-05-01,"CE",88
"1",2020-05-01,"DF",1
"1",2020-05-01,"ES",10
"1",2020-05-01,"GO",4
"1",2020-05-01,"MA",33
"1",2020-05-01,"MG",2
"1",2020-05-01,"MS",1
"1",2020-05-01,"PA",101
"1",2020-05-01,"PB",7
"1",2020-05-01,"PE",81
"1",2020-05-01,"PI",2
"1",2020-05-01,"RJ",214
"1",2020-05-01,"RN",7
"1",2020-05-01,"RR",2
"1",2020-05-01,"RS",2
"1",2020-05-01,"SC",1
"1",2020-05-01,"SP",158
"1",2020-05-01,"TO",1
"1",2020-05-02,"AC",2
"1",2020-05-02,"AL",9
"1",2020-05-02,"AM",67
"1",2020-05-02,"AP",1
"1",2020-05-02,"BA",12
"1",2020-05-02,"CE",74
"1",2020-05-02,"DF",1
"1",2020-05-02,"ES",7
"1",2020-05-02,"GO",1
"1",2020-05-02,"MA",36
"1",2020-05-02,"MG",12
"1",2020-05-02,"MT",1
"1",2020-05-02,"PA",107
"1",2020-05-02,"PB",5
"1",2020-05-02,"PE",54
"1",2020-05-02,"PI",1
"1",2020-05-02,"PR",5
"1",2020-05-02,"RJ",234
"1",2020-05-02,"RN",3
"1",2020-05-02,"RO",2
"1",2020-05-02,"RR",1
"1",2020-05-02,"RS",7
"1",2020-05-02,"SC",2
"1",2020-05-02,"SE",1
"1",2020-05-02,"SP",148
"1",2020-05-02,"TO",1
"1",2020-05-03,"AC",2
"1",2020-05-03,"AL",12
"1",2020-05-03,"AM",59
"1",2020-05-03,"AP",1
"1",2020-05-03,"BA",13
"1",2020-05-03,"CE",91
"1",2020-05-03,"ES",10
"1",2020-05-03,"GO",2
"1",2020-05-03,"MA",48
"1",2020-05-03,"MG",4
"1",2020-05-03,"MS",1
"1",2020-05-03,"MT",1
"1",2020-05-03,"PA",97
"1",2020-05-03,"PB",3
"1",2020-05-03,"PE",75
"1",2020-05-03,"PI",4
"1",2020-05-03,"PR",3
"1",2020-05-03,"RJ",244
"1",2020-05-03,"RO",1
"1",2020-05-03,"RS",4
"1",2020-05-03,"SC",1
"1",2020-05-03,"SE",2
"1",2020-05-03,"SP",156
"1",2020-05-03,"TO",1
"1",2020-05-04,"AC",2
"1",2020-05-04,"AL",16
"1",2020-05-04,"AM",61
"1",2020-05-04,"AP",5
"1",2020-05-04,"BA",15
"1",2020-05-04,"CE",92
"1",2020-05-04,"DF",1
"1",2020-05-04,"ES",11
"1",2020-05-04,"GO",2
"1",2020-05-04,"MA",45
"1",2020-05-04,"MG",5
"1",2020-05-04,"PA",103
"1",2020-05-04,"PB",13
"1",2020-05-04,"PE",84
"1",2020-05-04,"PR",2
"1",2020-05-04,"RJ",236
"1",2020-05-04,"RN",3
"1",2020-05-04,"RO",2
"1",2020-05-04,"RR",1
"1",2020-05-04,"RS",6
"1",2020-05-04,"SC",4
"1",2020-05-04,"SE",1
"1",2020-05-04,"SP",160
"1",2020-05-05,"AC",3
"1",2020-05-05,"AL",7
"1",2020-05-05,"AM",63
"1",2020-05-05,"AP",8
"1",2020-05-05,"BA",11
"1",2020-05-05,"CE",106
"1",2020-05-05,"ES",16
"1",2020-05-05,"GO",1
"1",2020-05-05,"MA",37
"1",2020-05-05,"MG",8
"1",2020-05-05,"PA",114
"1",2020-05-05,"PB",10
"1",2020-05-05,"PE",69
"1",2020-05-05,"PI",2
"1",2020-05-05,"PR",2
"1",2020-05-05,"RJ",199
"1",2020-05-05,"RN",5
"1",2020-05-05,"RO",1
"1",2020-05-05,"RR",2
"1",2020-05-05,"RS",9
"1",2020-05-05,"SC",3
"1",2020-05-05,"SE",3
"1",2020-05-05,"SP",185
"1",2020-05-05,"TO",1
"1",2020-05-06,"AC",5
"1",2020-05-06,"AL",16
"1",2020-05-06,"AM",56
"1",2020-05-06,"AP",6
"1",2020-05-06,"BA",9
"1",2020-05-06,"CE",91
"1",2020-05-06,"DF",1
"1",2020-05-06,"ES",9
"1",2020-05-06,"GO",4
"1",2020-05-06,"MA",21
"1",2020-05-06,"MG",2
"1",2020-05-06,"MS",1
"1",2020-05-06,"PA",99
"1",2020-05-06,"PB",10
"1",2020-05-06,"PE",78
"1",2020-05-06,"PI",5
"1",2020-05-06,"PR",4
"1",2020-05-06,"RJ",206
"1",2020-05-06,"RN",3
"1",2020-05-06,"RR",1
"1",2020-05-06,"RS",2
"1",2020-05-06,"SC",2
"1",2020-05-06,"SE",4
"1",2020-05-06,"SP",161
"1",2020-05-07,"AC",3
"1",2020-05-07,"AL",12
"1",2020-05-07,"AM",56
"1",2020-05-07,"AP",3
"1",2020-05-07,"BA",14
"1",2020-05-07,"CE",106
"1",2020-05-07,"DF",1
"1",2020-05-07,"ES",8
"1",2020-05-07,"GO",3
"1",2020-05-07,"MA",34
"1",2020-05-07,"MG",7
"1",2020-05-07,"MT",1
