Date,R. Vergueiro Bicicleta Centro,R. Vergueiro Bicicleta Bairro
22 de janeiro de 2018,1018,942
23 de janeiro de 2018,925,853
24 de janeiro de 2018,721,815
25 de janeiro de 2018,544,487
26 de janeiro de 2018,664,617
27 de janeiro de 2018,876,920
28 de janeiro de 2018,705,643
29 de janeiro de 2018,458,451
30 de janeiro de 2018,1017,952
31 de janeiro de 2018,1057,1010
1 de fevereiro de 2018,987,847
2 de fevereiro de 2018,714,713
3 de fevereiro de 2018,808,715
4 de fevereiro de 2018,816,801
5 de fevereiro de 2018,928,879
6 de fevereiro de 2018,1118,1036
7 de fevereiro de 2018,1067,995
8 de fevereiro de 2018,960,871
9 de fevereiro de 2018,647,602
10 de fevereiro de 2018,1611,1460
11 de fevereiro de 2018,717,729
12 de fevereiro de 2018,649,653
13 de fevereiro de 2018,460,446
14 de fevereiro de 2018,683,646
15 de fevereiro de 2018,732,713
16 de fevereiro de 2018,766,730
17 de fevereiro de 2018,680,613
18 de fevereiro de 2018,1008,997
19 de fevereiro de 2018,1021,979
20 de fevereiro de 2018,1106,1006
21 de fevereiro de 2018,959,908
22 de fevereiro de 2018,868,814
23 de fevereiro de 2018,816,788
24 de fevereiro de 2018,913,862
25 de fevereiro de 2018,648,609
26 de fevereiro de 2018,932,904
27 de fevereiro de 2018,1069,1043
28 de fevereiro de 2018,1099,987
1 de março de 2018,756,720
2 de março de 2018,694,710
3 de março de 2018,801,664
4 de março de 2018,965,917
5 de março de 2018,875,867
6 de março de 2018,894,848
7 de março de 2018,741,710
8 de março de 2018,921,868
9 de março de 2018,792,735
10 de março de 2018,953,920
11 de março de 2018,865,824
12 de março de 2018,981,920
13 de março de 2018,912,853
14 de março de 2018,1040,985
15 de março de 2018,1021,964
16 de março de 2018,737,736
17 de março de 2018,937,800
18 de março de 2018,1011,996
19 de março de 2018,774,648
20 de março de 2018,854,868
21 de março de 2018,947,864
22 de março de 2018,916,839
23 de março de 2018,810,802
24 de março de 2018,859,782
25 de março de 2018,832,804
26 de março de 2018,725,665
27 de março de 2018,639,607
28 de março de 2018,668,638
29 de março de 2018,375,306
30 de março de 2018,706,709
31 de março de 2018,702,577
1 de abril de 2018,896,931
2 de abril de 2018,844,836
3 de abril de 2018,1066,1041
4 de abril de 2018,1093,1007
5 de abril de 2018,1007,951
6 de abril de 2018,778,779
7 de abril de 2018,814,764
8 de abril de 2018,1019,972
9 de abril de 2018,1225,1146
10 de abril de 2018,1143,1112
11 de abril de 2018,1130,1042
12 de abril de 2018,1049,970
13 de abril de 2018,818,732
14 de abril de 2018,156,169
15 de abril de 2018,716,719
16 de abril de 2018,1053,1001
17 de abril de 2018,727,892
18 de abril de 2018,1109,1051
19 de abril de 2018,974,921
20 de abril de 2018,560,469
21 de abril de 2018,891,769
22 de abril de 2018,1006,944
23 de abril de 2018,1227,1135
24 de abril de 2018,1018,869
25 de abril de 2018,1119,1064
26 de abril de 2018,1004,927
27 de abril de 2018,682,583
28 de abril de 2018,798,855
29 de abril de 2018,863,845
30 de abril de 2018,868,829
1 de maio de 2018,1036,992
2 de maio de 2018,1125,1172
3 de maio de 2018,1105,1012
4 de maio de 2018,863,817
5 de maio de 2018,878,896
6 de maio de 2018,1091,1038
7 de maio de 2018,1158,1056
8 de maio de 2018,1127,1115
9 de maio de 2018,1239,1094
10 de maio de 2018,1120,1006
11 de maio de 2018,765,782
12 de maio de 2018,491,494
13 de maio de 2018,987,978
14 de maio de 2018,1164,1047
15 de maio de 2018,1055,1026
16 de maio de 2018,1145,1157
17 de maio de 2018,980,946
18 de maio de 2018,489,511
19 de maio de 2018,590,601
20 de maio de 2018,872,859
21 de maio de 2018,1044,988
22 de maio de 2018,1004,1030
23 de maio de 2018,1101,1059
24 de maio de 2018,1099,1030
25 de maio de 2018,1078,1066
26 de maio de 2018,971,969
27 de maio de 2018,1376,1300
28 de maio de 2018,1559,1517
29 de maio de 2018,1310,1248
30 de maio de 2018,1032,957
31 de maio de 2018,952,950
1 de junho de 2018,845,821
2 de junho de 2018,264,303
3 de junho de 2018,828,810
4 de junho de 2018,868,868
5 de junho de 2018,980,950
6 de junho de 2018,724,677
7 de junho de 2018,877,780
8 de junho de 2018,664,723
9 de junho de 2018,755,667
10 de junho de 2018,1145,1088
11 de junho de 2018,1081,1011
12 de junho de 2018,762,773
13 de junho de 2018,742,703
14 de junho de 2018,692,642
15 de junho de 2018,475,479
16 de junho de 2018,477,350
17 de junho de 2018,889,846
18 de junho de 2018,1159,1056
19 de junho de 2018,1092,1023
20 de junho de 2018,1137,1042
21 de junho de 2018,940,859
22 de junho de 2018,755,745
23 de junho de 2018,774,732
24 de junho de 2018,1092,1002
25 de junho de 2018,1135,1061
26 de junho de 2018,978,1024
27 de junho de 2018,1045,972
28 de junho de 2018,1110,1013
29 de junho de 2018,745,736
30 de junho de 2018,713,743
1 de julho de 2018,1062,983
2 de julho de 2018,1058,984
3 de julho de 2018,990,1002
4 de julho de 2018,1038,1012
5 de julho de 2018,903,880
6 de julho de 2018,650,623
7 de julho de 2018,795,826
8 de julho de 2018,607,582
9 de julho de 2018,690,650
10 de julho de 2018,677,631
