"data";"tot.pass";"est.pagantes";"est.grat";"tot.grat";"semana";"semana.num";"semana.dia1";"ano";"estudantes";"grat.no.est"
2019-06-08;5390248;99146;445089;891164;"2019-W23";23;2019-06-02;"2019";544235;446075
2019-06-09;3067524;46468;235006;594843;"2019-W24";24;2019-06-09;"2019";281474;359837
2019-06-10;8992796;233586;871720;1458036;"2019-W24";24;2019-06-09;"2019";1105306;586316
2019-06-11;9177955;242721;896535;1446881;"2019-W24";24;2019-06-09;"2019";1139256;550346
2019-06-12;9191086;243494;899386;1452720;"2019-W24";24;2019-06-09;"2019";1142880;553334
2019-06-13;8946562;237515;865049;1388579;"2019-W24";24;2019-06-09;"2019";1102564;523530
2019-06-14;7066828;136764;522442;1097951;"2019-W24";24;2019-06-09;"2019";659206;575509
2019-06-15;5289433;96405;454582;882243;"2019-W24";24;2019-06-09;"2019";550987;427661
2019-06-16;2806483;43229;223841;539544;"2019-W25";25;2019-06-16;"2019";267070;315703
2019-06-17;8794311;221671;823996;1404710;"2019-W25";25;2019-06-16;"2019";1045667;580714
2019-06-18;8930808;223652;818499;1414550;"2019-W25";25;2019-06-16;"2019";1042151;596051
2019-06-19;8993608;217833;808218;1449183;"2019-W25";25;2019-06-16;"2019";1026051;640965
2019-06-20;3491965;53120;268317;610059;"2019-W25";25;2019-06-16;"2019";321437;341742
2019-06-21;6815793;107475;471145;1127419;"2019-W25";25;2019-06-16;"2019";578620;656274
2019-06-22;4964430;75135;384551;842453;"2019-W25";25;2019-06-16;"2019";459686;457902
2019-06-23;2912655;43038;230436;562776;"2019-W26";26;2019-06-23;"2019";273474;332340
2019-06-24;8388833;182824;686083;1373072;"2019-W26";26;2019-06-23;"2019";868907;686989
2019-06-25;8524670;182955;668419;1388649;"2019-W26";26;2019-06-23;"2019";851374;720230
2019-06-26;8247332;173238;618624;1347636;"2019-W26";26;2019-06-23;"2019";791862;729012
2019-06-27;8507430;170817;617569;1363171;"2019-W26";26;2019-06-23;"2019";788386;745602
2019-06-28;8411850;155069;568606;1380848;"2019-W26";26;2019-06-23;"2019";723675;812242
2019-06-29;5296695;79123;370792;900523;"2019-W26";26;2019-06-23;"2019";449915;529731
2019-06-30;2922822;39442;189812;573321;"2019-W27";27;2019-06-30;"2019";229254;383509
2019-07-01;8090344;123184;490105;1365389;"2019-W27";27;2019-06-30;"2019";613289;875284
