Date,Pinheiros,Ibirapuera
19 de fevereiro de 2018,1959,1717
20 de fevereiro de 2018,2166,1877
21 de fevereiro de 2018,1844,1724
22 de fevereiro de 2018,1939,1690
23 de fevereiro de 2018,1294,1284
24 de fevereiro de 2018,2397,2255
25 de fevereiro de 2018,1241,1394
26 de fevereiro de 2018,1988,1673
27 de fevereiro de 2018,2161,1984
28 de fevereiro de 2018,2040,1847
1 de março de 2018,1689,1580
2 de março de 2018,1171,1010
3 de março de 2018,2306,2130
4 de março de 2018,2041,1784
5 de março de 2018,1892,1789
6 de março de 2018,1836,1710
7 de março de 2018,1740,1487
8 de março de 2018,1975,1775
9 de março de 2018,1125,1057
10 de março de 2018,2542,2384
11 de março de 2018,1927,1765
12 de março de 2018,2069,1828
13 de março de 2018,1869,1836
14 de março de 2018,2219,1935
15 de março de 2018,2080,1796
16 de março de 2018,1214,1089
17 de março de 2018,2423,2255
18 de março de 2018,2071,1987
19 de março de 2018,1550,1650
20 de março de 2018,1944,1651
21 de março de 2018,2002,1863
22 de março de 2018,2052,1801
23 de março de 2018,1356,1180
24 de março de 2018,2436,2175
25 de março de 2018,1927,1762
26 de março de 2018,1562,1653
27 de março de 2018,1547,1497
28 de março de 2018,1628,1511
29 de março de 2018,1297,1160
30 de março de 2018,962,904
31 de março de 2018,1710,1400
1 de abril de 2018,2035,1809
2 de abril de 2018,2000,1919
3 de abril de 2018,2215,1977
4 de abril de 2018,2242,2042
5 de abril de 2018,2017,1900
6 de abril de 2018,1226,1110
7 de abril de 2018,2066,1878
8 de abril de 2018,2147,2009
9 de abril de 2018,2324,2288
10 de abril de 2018,2320,2225
11 de abril de 2018,2267,2185
12 de abril de 2018,2105,2018
13 de abril de 2018,1223,1140
14 de abril de 2018,392,367
15 de abril de 2018,1690,1744
16 de abril de 2018,2225,2214
17 de abril de 2018,1920,1120
18 de abril de 2018,2310,2215
19 de abril de 2018,2097,1993
20 de abril de 2018,1470,1389
21 de abril de 2018,2268,2086
22 de abril de 2018,2170,2058
23 de abril de 2018,2480,2153
24 de abril de 2018,2438,2223
25 de abril de 2018,2353,2155
26 de abril de 2018,2181,1937
27 de abril de 2018,1160,1157
28 de abril de 2018,2008,1912
29 de abril de 2018,1451,1417
30 de abril de 2018,2621,2429
1 de maio de 2018,2392,2107
2 de maio de 2018,2407,2224
3 de maio de 2018,2344,2113
4 de maio de 2018,1358,1179
5 de maio de 2018,2679,2327
6 de maio de 2018,2257,2099
7 de maio de 2018,2301,2242
8 de maio de 2018,2400,2211
9 de maio de 2018,2345,2137
10 de maio de 2018,2380,2128
11 de maio de 2018,1095,1013
12 de maio de 2018,1302,1277
13 de maio de 2018,2359,2029
14 de maio de 2018,2601,2443
15 de maio de 2018,2503,2329
16 de maio de 2018,2564,2403
17 de maio de 2018,2433,2242
